# lambda flux err tem
# angstroms ergs^-1cm^-2a^-1 ergs^-1cm^-2a^-1 none
3637.390 0.314 0.000 54.029
3638.227 0.717 0.000 53.619
3639.065 1.482 0.000 52.849
3639.903 0.798 7.011 53.527
3640.741 0.506 7.032 56.245
3641.580 7.678 7.164 54.718
3642.418 17.648 7.275 53.327
3643.257 -12.945 6.537 55.782
3644.096 1.054 6.754 54.450
3644.936 0.641 6.939 53.356
3645.775 -0.744 5.648 54.403
3646.614 -1.740 5.353 52.326
3647.454 -1.654 5.222 51.248
3648.294 2.189 5.207 54.050
3649.134 -4.783 4.890 51.737
3649.975 0.269 4.869 51.485
3650.815 -3.744 4.828 52.550
3651.656 -1.321 4.890 51.162
3652.497 5.611 5.098 52.739
3653.338 -1.354 5.036 55.510
3654.179 -7.667 5.030 54.780
3655.021 -6.947 5.014 55.847
3655.862 -3.444 5.034 55.423
3656.704 0.458 5.126 54.276
3657.546 10.121 5.201 55.012
3658.388 2.692 5.109 55.523
3659.231 6.183 5.081 56.365
3660.074 1.470 4.928 56.899
3660.917 0.522 4.882 57.013
3661.760 -1.336 4.866 55.481
3662.603 -3.938 4.867 56.086
3663.446 0.360 4.930 56.962
3664.290 -0.833 4.960 58.203
3665.134 -6.548 4.830 57.852
3665.978 4.517 4.838 55.356
3666.822 -3.443 4.611 55.900
3667.667 4.133 4.669 56.701
3668.511 3.100 4.674 55.460
3669.356 -2.280 4.652 55.991
3670.201 -0.070 4.729 55.149
3671.046 0.996 4.645 56.676
3671.891 4.899 4.630 55.166
3672.737 6.552 4.653 55.750
3673.583 0.147 4.601 57.115
3674.429 8.811 4.609 55.926
3675.275 -13.819 4.372 58.785
3676.121 -4.138 4.469 58.171
3676.968 4.642 4.479 55.104
3677.815 -5.991 4.315 56.388
3678.662 -8.608 4.268 54.893
3679.509 -5.226 4.295 54.252
3680.356 -6.709 4.363 55.852
3681.204 3.912 4.425 53.498
3682.051 -3.479 4.354 55.161
3682.899 6.333 4.557 54.963
3683.747 1.952 4.437 54.596
3684.595 0.582 4.318 52.884
3685.444 5.096 4.338 51.896
3686.293 5.637 4.391 54.881
3687.142 7.014 4.450 55.187
3687.991 7.219 4.412 54.674
3688.840 1.413 4.289 54.452
